Date,Open,High,Low,Close,Adj Close,Volume
2010-11-01,35.000000,35.990002,33.070000,34.200001,27.324814,756400100
2010-12-01,34.650002,36.980000,33.189999,36.860001,29.450081,372332600
2011-01-01,37.320000,39.480000,35.889999,36.490002,29.154465,353499500
2011-02-01,36.930000,37.230000,32.049999,33.529999,26.789503,312027400
2011-03-01,33.689999,33.750000,30.200001,31.030001,24.792080,364010100
2011-04-01,31.389999,33.279999,29.170000,32.090000,25.638988,304610100
2011-05-01,32.410000,33.470001,30.500000,31.809999,25.415272,275094300
2011-06-01,31.700001,31.700001,28.170000,30.360001,24.256769,357738600
2011-07-01,30.350000,32.080002,27.309999,27.680000,22.115522,219484000
2011-08-01,28.879999,28.879999,21.180000,24.030001,19.199284,444275000
2011-09-01,24.090000,24.250000,19.770000,20.180000,16.123243,245694500
2011-10-01,20.129999,26.549999,19.049999,25.850000,20.653406,279029700
2011-11-01,24.820000,25.170000,20.059999,21.290001,17.010099,278090400
2011-12-01,21.240000,22.110001,19.000000,20.270000,16.195147,206055300
2012-01-01,20.830000,25.500000,20.750000,24.020000,19.191288,246595500
2012-02-01,24.330000,27.680000,24.070000,26.020000,20.789234,262142400
2012-03-01,26.190001,26.799999,24.379999,25.650000,20.493612,175310000
2012-04-01,26.030001,27.030001,22.799999,23.000000,18.376339,205100300
2012-05-01,23.040001,23.480000,21.090000,22.200001,17.737165,210504400
2012-06-01,21.650000,23.340000,19.240000,19.719999,15.755714,188800300
2012-07-01,19.700001,21.209999,18.719999,19.709999,15.747723,162586300
2012-08-01,19.780001,22.139999,18.930000,21.350000,17.058033,182791200
2012-09-01,21.250000,25.150000,21.020000,22.750000,18.176596,173840800
2012-10-01,23.000000,25.719999,22.670000,25.500000,20.373770,202982900
2012-11-01,25.530001,26.270000,23.389999,25.879999,20.677378,168867200
2012-12-01,26.059999,28.900000,24.400000,28.830000,23.034342,223646000
