Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,26.840000,27.000000,25.900000,26.620001,26.620001,1283000
2011-01-04,26.660000,26.950001,26.020000,26.670000,26.670000,1187400
2011-01-05,26.480000,26.900000,26.190001,26.830000,26.830000,1446700
2011-01-06,26.830000,28.000000,26.809999,27.879999,27.879999,2061200
2011-01-07,28.000000,28.580000,27.900000,28.240000,28.240000,2247900
2011-01-10,28.170000,28.680000,28.049999,28.450001,28.450001,1342700
2011-01-11,28.590000,28.709999,26.920000,26.959999,26.959999,1710200
2011-01-12,27.010000,27.400000,26.520000,26.959999,26.959999,964400
2011-01-13,26.959999,26.969999,26.160000,26.219999,26.219999,723600
2011-01-14,26.150000,26.580000,25.610001,25.750000,25.750000,1192000
2011-01-18,25.480000,25.639999,24.750000,25.639999,25.639999,1621700
2011-01-19,25.270000,25.469999,23.750000,24.030001,24.030001,2371500
2011-01-20,24.030001,24.450001,22.370001,22.620001,22.620001,2279900
2011-01-21,23.120001,23.590000,22.709999,23.040001,23.040001,1217000
2011-01-24,23.530001,24.809999,23.230000,24.490000,24.490000,1645100
2011-01-25,24.650000,24.889999,24.020000,24.680000,24.680000,1271500
2011-01-26,24.709999,24.879999,24.100000,24.750000,24.750000,1079900
2011-01-27,24.740000,25.080000,24.530001,24.920000,24.920000,895700
2011-01-28,24.879999,24.879999,23.750000,24.010000,24.010000,1048400
2011-01-31,24.049999,24.120001,23.500000,24.100000,24.100000,830300
2011-02-01,24.309999,24.730000,23.540001,23.910000,23.910000,707800
2011-02-02,24.160000,24.180000,23.670000,23.940001,23.940001,569500
2011-02-03,23.820000,23.900000,23.150000,23.629999,23.629999,512000
2011-02-04,23.440001,23.670000,23.219999,23.459999,23.459999,544000
2011-02-07,23.260000,23.260000,22.879999,23.070000,23.070000,895100
2011-02-08,23.780001,25.250000,23.000000,24.490000,24.490000,3504900
2011-02-09,24.129999,24.180000,22.790001,23.209999,23.209999,2635600
2011-02-10,23.260000,23.639999,22.809999,23.219999,23.219999,836100
2011-02-11,23.250000,23.750000,22.940001,23.250000,23.250000,634500
2011-02-14,23.639999,24.139999,23.049999,23.080000,23.080000,1283100
2011-02-15,23.010000,23.170000,22.559999,22.840000,22.840000,953700
2011-02-16,23.100000,24.969999,23.070000,24.730000,24.730000,4115100
2011-02-17,24.629999,25.490000,23.549999,23.600000,23.600000,2618400
2011-02-18,23.330000,23.490000,22.959999,23.180000,23.180000,2370700
2011-02-22,22.879999,23.000000,21.780001,21.870001,21.870001,2064600
2011-02-23,22.180000,22.500000,21.110001,21.830000,21.830000,1605600
2011-02-24,21.780001,22.580000,21.500000,22.530001,22.530001,1055300
2011-02-25,22.809999,23.850000,22.690001,23.610001,23.610001,1346300
2011-02-28,23.740000,24.100000,23.500000,23.889999,23.889999,1051200
2011-03-01,24.049999,24.320000,23.700001,23.940001,23.940001,1106400
2011-03-02,23.820000,24.280001,23.730000,24.020000,24.020000,663300
2011-03-03,24.480000,24.790001,24.059999,24.360001,24.360001,640200
2011-03-04,24.480000,24.990000,23.780001,24.950001,24.950001,1580100
2011-03-07,24.930000,25.400000,24.700001,24.940001,24.940001,2033600
2011-03-08,24.600000,24.959999,24.000000,24.660000,24.660000,1399900
2011-03-09,24.660000,24.990000,24.270000,24.719999,24.719999,924800
2011-03-10,24.440001,24.490000,23.730000,24.010000,24.010000,1017000
2011-03-11,23.850000,24.250000,23.530001,24.070000,24.070000,930800
2011-03-14,23.820000,24.000000,23.200001,23.250000,23.250000,1166000
2011-03-15,22.200001,22.959999,21.799999,22.950001,22.950001,1318800
2011-03-16,22.860001,23.250000,22.690001,22.820000,22.820000,1169700
2011-03-17,23.240000,23.430000,22.639999,22.809999,22.809999,922600
2011-03-18,23.190001,23.190001,22.510000,22.959999,22.959999,687900
2011-03-21,23.049999,23.049999,22.540001,22.730000,22.730000,411700
